"Country Name","Total","GDP","Log_GDP","Log_Total","Predicted","Residual","Outlier","OutlierType","aboveorbelow"
"South Africa",955.484,353258433207.809,26.5904657314258,6.86221801838052,7.88897457672928,-1.02675655834876,"no","no","below"
"Spain",3782.109,1238777799460.16,27.8451463638808,8.23803706953287,9.15973813974451,-0.921701070211641,"no","no","below"
"Sri Lanka",543.199,96953497412.3508,25.2974972923769,6.29747573530023,6.57943242076472,-0.281956685464489,"no","no","below"
"Sudan",11.691,79726256121.3698,25.1018648053957,2.45881931502468,6.38129224886189,-3.92247293383721,"yes","below","below"
"Suriname",14.498,4296021063.31693,22.1809550971477,2.67401070887869,3.42294130912013,-0.748930600241441,"no","no","below"
"Sweden",5825.083,565187309896.877,27.060423035093,8.66992852725942,8.36495595575524,0.304972571504182,"no","no","above"
"Thailand",5043.232,438481352062.015,26.8065831211999,8.52580242538104,8.10786223399827,0.417940191382771,"no","no","above"
"Timor-Leste",1.862,2722486416.11599,21.7248114232699,0.621651178854875,2.96095062777067,-2.3392994489158,"no","no","below"
"Trinidad and Tobago",21.231,21633220892.8315,23.797495974417,3.05546237776176,5.06020356679843,-2.00474118903667,"no","no","below"
"Tunisia",295.099,46984709045.0087,24.5730880462542,5.68731089326135,5.8457374462254,-0.158426552964047,"no","no","below"
"Ukraine",3667.633,101454370523.026,25.3428749828524,8.20730177384494,6.62539177818083,1.58190999566411,"no","no","above"
"United Arab Emirates",26527.541,398355489726.86,26.7106106338423,10.1859387553125,8.01065953808403,2.17527921722844,"no","no","above"
"United Kingdom",55734.038,3036531677286.59,28.7417370844004,10.9283463344254,10.0678216704073,0.860524664018119,"no","no","above"
"Uruguay",131.161,54390979802.7041,24.7194641646096,4.87642557622308,5.99398986432298,-1.11756428809991,"no","no","below"
"Vanuatu",2.5,821237704.483277,20.5263231559412,0.916290731874155,1.74709972306467,-0.830808991190517,"no","no","below"
